timestamp,key,event_type,time_since_last_key
2025-11-02 16:08:56.820780,i,up,
2025-11-02 16:08:56.859657,v,down,131.2
2025-11-02 16:08:56.928769,v,up,
2025-11-02 16:08:57.025875,e,down,166.215
2025-11-02 16:08:57.082431,Key.space,down,56.511
2025-11-02 16:08:57.117786,e,up,
2025-11-02 16:08:57.210027,s,down,127.641
2025-11-02 16:08:57.251722,Key.space,up,
2025-11-02 16:08:57.281815,h,down,71.789
2025-11-02 16:08:57.305998,s,up,
2025-11-02 16:08:57.362252,e,down,80.442
2025-11-02 16:08:57.369832,h,up,
2025-11-02 16:08:57.442357,Key.space,down,80.064
2025-11-02 16:08:57.498291,e,up,
2025-11-02 16:08:57.498517,h,down,56.203
2025-11-02 16:08:57.586515,Key.space,up,
2025-11-02 16:08:57.605703,h,up,
2025-11-02 16:08:57.617610,a,down,119.087
2025-11-02 16:08:57.698655,a,up,
2025-11-02 16:08:57.782786,s,down,165.176
2025-11-02 16:08:57.875502,Key.space,down,92.666
2025-11-02 16:08:57.910730,s,up,
2025-11-02 16:08:58.012143,Key.space,up,
2025-11-02 16:08:58.173850,b,down,298.395
2025-11-02 16:08:58.238529,b,up,
2025-11-02 16:08:58.365786,l,down,191.936
2025-11-02 16:08:58.410188,a,down,44.403
2025-11-02 16:08:58.457611,l,up,
2025-11-02 16:08:58.483450,a,up,
2025-11-02 16:08:58.596136,c,down,185.947
2025-11-02 16:08:58.635718,k,down,39.586
2025-11-02 16:08:58.728247,k,up,
2025-11-02 16:08:58.768374,Key.space,down,132.62
2025-11-02 16:08:58.791495,c,up,
2025-11-02 16:08:58.895993,h,down,127.65
2025-11-02 16:08:58.935422,Key.space,up,
2025-11-02 16:08:58.963769,h,up,
2025-11-02 16:08:58.967433,a,down,71.443
2025-11-02 16:08:59.044244,i,down,76.815
2025-11-02 16:08:59.055790,a,up,
2025-11-02 16:08:59.140604,i,up,
2025-11-02 16:08:59.169741,r,down,125.495
2025-11-02 16:08:59.238242,Key.space,down,68.457
2025-11-02 16:08:59.293720,r,up,
2025-11-02 16:08:59.345820,b,down,107.618
2025-11-02 16:08:59.401763,Key.space,up,
2025-11-02 16:08:59.462064,b,up,
2025-11-02 16:08:59.519728,u,down,173.911
2025-11-02 16:08:59.568202,t,down,48.472
2025-11-02 16:08:59.616110,u,up,
2025-11-02 16:08:59.675808,Key.space,down,107.57
2025-11-02 16:08:59.728499,t,up,
2025-11-02 16:08:59.775661,i,down,99.892
2025-11-02 16:08:59.800859,Key.space,up,
2025-11-02 16:08:59.872643,i,up,
2025-11-02 16:09:00.138037,t,down,362.372
2025-11-02 16:09:00.270305,t,up,
2025-11-02 16:09:00.423700,Key.space,down,285.625
2025-11-02 16:09:00.552193,Key.space,up,
2025-11-02 16:09:00.559634,i,down,135.974
2025-11-02 16:09:00.636595,s,down,76.955
2025-11-02 16:09:00.668693,i,up,
2025-11-02 16:09:00.739891,Key.space,down,103.258
2025-11-02 16:09:00.775645,s,up,
2025-11-02 16:09:00.879858,d,down,140.007
2025-11-02 16:09:00.884250,Key.space,up,
2025-11-02 16:09:00.992445,d,up,
2025-11-02 16:09:01.003690,y,down,123.838
2025-11-02 16:09:01.087976,y,up,
2025-11-02 16:09:01.092354,e,down,88.662
2025-11-02 16:09:01.168729,e,up,
2025-11-02 16:09:01.276816,d,down,184.46
2025-11-02 16:09:01.409313,d,up,
2025-11-02 16:09:01.420612,Key.space,down,143.763
2025-11-02 16:09:01.581652,Key.space,up,
2025-11-02 16:09:01.596527,t,down,175.95
2025-11-02 16:09:01.697924,t,up,
2025-11-02 16:09:01.943720,Key.backspace,down,347.155
2025-11-02 16:09:02.031957,Key.backspace,up,
2025-11-02 16:09:02.035467,r,down,91.787
2025-11-02 16:09:02.140423,r,up,
2025-11-02 16:09:02.238586,g,down,203.117
2025-11-02 16:09:02.343455,g,up,
2025-11-02 16:09:02.484702,h,down,246.115
2025-11-02 16:09:02.601151,t,down,116.446
2025-11-02 16:09:02.628691,h,up,
2025-11-02 16:09:02.756899,Key.space,down,155.698
2025-11-02 16:09:02.768192,t,up,
2025-11-02 16:09:02.933112,n,down,176.264
2025-11-02 16:09:02.956491,Key.space,up,
2025-11-02 16:09:03.017447,n,up,
2025-11-02 16:09:03.079637,o,down,146.529
2025-11-02 16:09:03.184513,o,up,
2025-11-02 16:09:03.200554,w,down,120.915
2025-11-02 16:09:03.381135,Key.space,down,180.534
2025-11-02 16:09:03.412192,w,up,
2025-11-02 16:09:03.529277,Key.space,up,
2025-11-02 16:09:03.571609,a,down,190.521
2025-11-02 16:09:03.628106,n,down,56.498
2025-11-02 16:09:03.651737,a,up,
2025-11-02 16:09:03.732403,n,up,
2025-11-02 16:09:03.747454,d,down,119.352
2025-11-02 16:09:03.820227,Key.space,down,72.723
2025-11-02 16:09:03.872107,d,up,
2025-11-02 16:09:03.951574,s,down,131.393
2025-11-02 16:09:03.975647,Key.space,up,
2025-11-02 16:09:04.016152,h,down,64.575
2025-11-02 16:09:04.052416,s,up,
2025-11-02 16:09:04.119926,h,up,
2025-11-02 16:09:04.154313,e,down,138.167
2025-11-02 16:09:04.203275,Key.space,down,48.909
2025-11-02 16:09:04.263288,e,up,
2025-11-02 16:09:04.342457,h,down,139.232
2025-11-02 16:09:04.378909,Key.space,up,
2025-11-02 16:09:04.451019,h,up,
2025-11-02 16:09:04.465533,a,down,123.077
2025-11-02 16:09:04.558488,a,up,
2025-11-02 16:09:04.680606,s,down,215.072
2025-11-02 16:09:04.805167,Key.space,down,124.514
2025-11-02 16:09:04.848301,s,up,
2025-11-02 16:09:04.980990,Key.space,up,
2025-11-02 16:09:05.480832,b,down,675.707
2025-11-02 16:09:05.557189,b,up,
2025-11-02 16:09:05.727468,l,down,246.641
2025-11-02 16:09:05.795871,a,down,68.398
2025-11-02 16:09:05.843781,l,up,
2025-11-02 16:09:05.899824,a,up,
2025-11-02 16:09:06.073551,k,down,277.684
2025-11-02 16:09:06.169779,Key.space,down,96.181
2025-11-02 16:09:06.181500,k,up,
2025-11-02 16:09:06.362191,Key.space,up,
2025-11-02 16:09:06.877689,Key.backspace,down,707.914
2025-11-02 16:09:06.950290,Key.backspace,up,
2025-11-02 16:09:07.035205,Key.backspace,down,157.535
2025-11-02 16:09:07.103325,Key.backspace,up,
2025-11-02 16:09:07.180464,Key.backspace,down,145.257
2025-11-02 16:09:07.245475,Key.backspace,up,
2025-11-02 16:09:07.331496,Key.backspace,down,151.033
2025-11-02 16:09:07.428166,Key.backspace,up,
2025-11-02 16:09:07.650380,Key.backspace,down,318.882
2025-11-02 16:09:07.755297,Key.backspace,up,
2025-11-02 16:09:08.472069,a,down,821.716
2025-11-02 16:09:08.568338,a,up,
2025-11-02 16:09:08.670856,c,down,198.783
2025-11-02 16:09:08.742826,k,down,71.97
2025-11-02 16:09:08.831114,c,up,
2025-11-02 16:09:08.850619,k,up,
2025-11-02 16:09:08.874192,Key.space,down,131.339
2025-11-02 16:09:09.010703,e,down,136.54
2025-11-02 16:09:09.019368,Key.space,up,
2025-11-02 16:09:09.091574,y,down,80.871
2025-11-02 16:09:09.118505,e,up,
2025-11-02 16:09:09.182592,y,up,
2025-11-02 16:09:09.194008,e,down,102.441
2025-11-02 16:09:09.311294,e,up,
2025-11-02 16:09:09.413067,s,down,219.051
2025-11-02 16:09:09.493061,Key.space,down,79.947
2025-11-02 16:09:09.544915,s,up,
2025-11-02 16:09:09.624600,a,down,131.591
2025-11-02 16:09:09.644019,Key.space,up,
2025-11-02 16:09:09.692866,n,down,68.265
2025-11-02 16:09:09.718205,a,up,
2025-11-02 16:09:09.784932,n,up,
2025-11-02 16:09:09.809326,d,down,116.463
2025-11-02 16:09:09.873835,Key.space,down,64.465
2025-11-02 16:09:09.892914,d,up,
2025-11-02 16:09:09.969923,s,down,96.128
2025-11-02 16:09:10.001877,Key.space,up,
2025-11-02 16:09:10.057320,h,down,87.395
2025-11-02 16:09:10.065305,s,up,
2025-11-02 16:09:10.157867,e,down,100.546
2025-11-02 16:09:10.169390,h,up,
2025-11-02 16:09:10.290246,e,up,
2025-11-02 16:09:10.309237,Key.space,down,151.341
2025-11-02 16:09:10.470959,Key.space,up,
2025-11-02 16:09:10.491316,i,down,182.114
2025-11-02 16:09:10.571706,s,down,80.385
2025-11-02 16:09:10.583530,i,up,
2025-11-02 16:09:10.651956,Key.space,down,80.206
2025-11-02 16:09:10.707682,s,up,
2025-11-02 16:09:10.791655,Key.space,up,
2025-11-02 16:09:10.963909,v,down,311.995
2025-11-02 16:09:11.044075,v,up,
2025-11-02 16:09:11.112366,i,down,148.461
2025-11-02 16:09:11.176589,e,down,64.223
2025-11-02 16:09:11.204984,i,up,
2025-11-02 16:09:11.248997,e,up,
2025-11-02 16:09:11.344296,t,down,167.709
2025-11-02 16:09:11.420840,n,down,76.541
2025-11-02 16:09:11.452727,t,up,
2025-11-02 16:09:11.532959,n,up,
2025-11-02 16:09:11.587110,a,down,166.271
2025-11-02 16:09:11.683921,m,down,96.808
2025-11-02 16:09:11.719694,a,up,
2025-11-02 16:09:11.847886,m,up,
2025-11-02 16:09:12.021250,e,down,337.334
2025-11-02 16:09:12.109212,e,up,
2025-11-02 16:09:12.204327,s,down,183.075
2025-11-02 16:09:12.321191,s,up,
2025-11-02 16:09:12.444257,e,down,239.933
2025-11-02 16:09:12.557080,e,up,
2025-11-02 16:09:12.642259,Key.space,down,197.96
2025-11-02 16:09:12.778988,a,down,136.764
2025-11-02 16:09:12.779443,Key.space,up,
2025-11-02 16:09:12.875215,a,up,
2025-11-02 16:09:12.901284,n,down,122.303
2025-11-02 16:09:13.022181,n,up,
2025-11-02 16:09:13.065212,d,down,163.926
2025-11-02 16:09:13.221730,Key.space,down,156.471
2025-11-02 16:09:13.244800,d,up,
2025-11-02 16:09:13.413867,Key.space,up,
2025-11-02 16:09:13.471254,s,down,249.568
2025-11-02 16:09:13.575715,h,down,104.461
2025-11-02 16:09:13.576410,s,up,
2025-11-02 16:09:13.667911,h,up,
2025-11-02 16:09:13.684295,e,down,108.582
2025-11-02 16:09:13.748538,Key.space,down,64.201
2025-11-02 16:09:13.800234,e,up,
2025-11-02 16:09:13.864616,i,down,116.12
2025-11-02 16:09:13.880068,Key.space,up,
2025-11-02 16:09:13.944704,s,down,80.083
2025-11-02 16:09:13.959699,i,up,
2025-11-02 16:09:14.040638,Key.space,down,95.896
2025-11-02 16:09:14.091960,s,up,
2025-11-02 16:09:14.216533,Key.space,up,
2025-11-02 16:09:14.264278,w,down,223.688
2025-11-02 16:09:14.336607,w,up,
2025-11-02 16:09:14.401914,e,down,137.645
2025-11-02 16:09:14.499316,e,up,
2025-11-02 16:09:14.597567,a,down,195.639
2025-11-02 16:09:14.654244,a,up,
2025-11-02 16:09:14.762425,r,down,164.859
